qid,image_id,image_filename,final_image_filename,image_relative_path,oss_url,city,lon,lat,streetclip_cluster_k25,image_file_exists_in_package
Q051,CD_414222,cd_414222_104.04851781_30.6844839428.jpg,Q051__cd_414222_104.0485178_30.68448394.jpg,images/Q051__cd_414222_104.0485178_30.68448394.jpg,,CD,104.0485178,30.68448394,8,True
Q052,CD_472763,cd_472763_104.08306824_30.6487894574.jpg,Q052__cd_472763_104.0830682_30.64878946.jpg,images/Q052__cd_472763_104.0830682_30.64878946.jpg,,CD,104.0830682,30.64878946,8,True
Q053,CD_413805,cd_413805_104.124753625_30.7113853745.jpg,Q053__cd_413805_104.1247536_30.71138537.jpg,images/Q053__cd_413805_104.1247536_30.71138537.jpg,,CD,104.1247536,30.71138537,9,True
Q054,CD_57854,cd_57854_104.133922613_30.6175793902.jpg,Q054__cd_57854_104.1339226_30.61757939.jpg,images/Q054__cd_57854_104.1339226_30.61757939.jpg,,CD,104.1339226,30.61757939,9,True
Q055,CD_52413,cd_52413_104.102624823_30.6423034385.jpg,Q055__cd_52413_104.1026248_30.64230344.jpg,images/Q055__cd_52413_104.1026248_30.64230344.jpg,,CD,104.1026248,30.64230344,9,True
Q056,CD_55723,cd_55723_104.046614995_30.6642398344.jpg,Q056__cd_55723_104.046615_30.66423983.jpg,images/Q056__cd_55723_104.046615_30.66423983.jpg,,CD,104.046615,30.66423983,9,True
Q057,CD_54518,cd_54518_104.051864707_30.6358497011.jpg,Q057__cd_54518_104.0518647_30.6358497.jpg,images/Q057__cd_54518_104.0518647_30.6358497.jpg,,CD,104.0518647,30.6358497,9,True
Q058,CD_55345,cd_55345_104.068447632_30.6578367704.jpg,Q058__cd_55345_104.0684476_30.65783677.jpg,images/Q058__cd_55345_104.0684476_30.65783677.jpg,,CD,104.0684476,30.65783677,9,True
Q059,CD_55607,cd_55607_104.043778569_30.665741593.jpg,Q059__cd_55607_104.0437786_30.66574159.jpg,images/Q059__cd_55607_104.0437786_30.66574159.jpg,,CD,104.0437786,30.66574159,9,True
Q060,CD_36074,cd_36074_104.027764557_30.7106185261.jpg,Q060__cd_36074_104.0277646_30.71061853.jpg,images/Q060__cd_36074_104.0277646_30.71061853.jpg,,CD,104.0277646,30.71061853,9,True
Q061,CD_52408,cd_52408_104.114149711_30.6504201556.jpg,Q061__cd_52408_104.1141497_30.65042016.jpg,images/Q061__cd_52408_104.1141497_30.65042016.jpg,,CD,104.1141497,30.65042016,9,True
Q062,CD_417186,cd_417186_104.070670835_30.6958462554.jpg,Q062__cd_417186_104.0706708_30.69584626.jpg,images/Q062__cd_417186_104.0706708_30.69584626.jpg,,CD,104.0706708,30.69584626,10,True
Q063,CD_466795,cd_466795_104.071719044_30.6124878974.jpg,Q063__cd_466795_104.071719_30.6124879.jpg,images/Q063__cd_466795_104.071719_30.6124879.jpg,,CD,104.071719,30.6124879,10,True
Q064,CD_469344,cd_469344_104.110308955_30.6514121884.jpg,Q064__cd_469344_104.110309_30.65141219.jpg,images/Q064__cd_469344_104.110309_30.65141219.jpg,,CD,104.110309,30.65141219,10,True
Q065,CD_470700,cd_470700_104.072152437_30.6296825519.jpg,Q065__cd_470700_104.0721524_30.62968255.jpg,images/Q065__cd_470700_104.0721524_30.62968255.jpg,,CD,104.0721524,30.62968255,10,True
Q066,CD_455725,cd_455725_103.993649725_30.6540581984.jpg,Q066__cd_455725_103.9936497_30.6540582.jpg,images/Q066__cd_455725_103.9936497_30.6540582.jpg,,CD,103.9936497,30.6540582,10,True
Q067,CD_422717,cd_422717_104.132577106_30.6836760964.jpg,Q067__cd_422717_104.1325771_30.6836761.jpg,images/Q067__cd_422717_104.1325771_30.6836761.jpg,,CD,104.1325771,30.6836761,10,True
Q068,CD_465880,cd_465880_104.037155349_30.6176712289.jpg,Q068__cd_465880_104.0371553_30.61767123.jpg,images/Q068__cd_465880_104.0371553_30.61767123.jpg,,CD,104.0371553,30.61767123,11,True
Q069,CD_476734,cd_476734_104.129492567_30.6216420971.jpg,Q069__cd_476734_104.1294926_30.6216421.jpg,images/Q069__cd_476734_104.1294926_30.6216421.jpg,,CD,104.1294926,30.6216421,11,True
Q070,CD_47622,cd_47622_103.984645103_30.650069781.jpg,Q070__cd_47622_103.9846451_30.65006978.jpg,images/Q070__cd_47622_103.9846451_30.65006978.jpg,,CD,103.9846451,30.65006978,11,True
Q071,CD_53464,cd_53464_104.021046732_30.6447870491.jpg,Q071__cd_53464_104.0210467_30.64478705.jpg,images/Q071__cd_53464_104.0210467_30.64478705.jpg,,CD,104.0210467,30.64478705,11,True
Q072,CD_416577,cd_416577_104.095192555_30.6908843316.jpg,Q072__cd_416577_104.0951926_30.69088433.jpg,images/Q072__cd_416577_104.0951926_30.69088433.jpg,,CD,104.0951926,30.69088433,11,True
Q073,CD_48548,cd_48548_104.012544352_30.6350898492.jpg,Q073__cd_48548_104.0125444_30.63508985.jpg,images/Q073__cd_48548_104.0125444_30.63508985.jpg,,CD,104.0125444,30.63508985,11,True
Q074,CD_464707,cd_464707_104.008272967_30.6233319382.jpg,Q074__cd_464707_104.008273_30.62333194.jpg,images/Q074__cd_464707_104.008273_30.62333194.jpg,,CD,104.008273,30.62333194,11,True
Q075,CD_34107,cd_34107_104.069885005_30.6835240668.jpg,Q075__cd_34107_104.069885_30.68352407.jpg,images/Q075__cd_34107_104.069885_30.68352407.jpg,,CD,104.069885,30.68352407,12,True
Q076,CD_48945,cd_48945_104.059920075_30.6053591888.jpg,Q076__cd_48945_104.0599201_30.60535919.jpg,images/Q076__cd_48945_104.0599201_30.60535919.jpg,,CD,104.0599201,30.60535919,12,True
Q077,CD_226782,cd_226782_104.090113964_30.6452617516.jpg,Q077__cd_226782_104.090114_30.64526175.jpg,images/Q077__cd_226782_104.090114_30.64526175.jpg,,CD,104.090114,30.64526175,12,True
Q078,CD_53723,cd_53723_104.11636746_30.6416795221.jpg,Q078__cd_53723_104.1163675_30.64167952.jpg,images/Q078__cd_53723_104.1163675_30.64167952.jpg,,CD,104.1163675,30.64167952,12,True
Q079,CD_427488,cd_427488_104.144846734_30.6670460191.jpg,Q079__cd_427488_104.1448467_30.66704602.jpg,images/Q079__cd_427488_104.1448467_30.66704602.jpg,,CD,104.1448467,30.66704602,12,True
Q080,CD_412398,cd_412398_104.068844848_30.7228312326.jpg,Q080__cd_412398_104.0688448_30.72283123.jpg,images/Q080__cd_412398_104.0688448_30.72283123.jpg,,CD,104.0688448,30.72283123,12,True
Q081,CD_411668,cd_411668_104.082282612_30.7122074896.jpg,Q081__cd_411668_104.0822826_30.71220749.jpg,images/Q081__cd_411668_104.0822826_30.71220749.jpg,,CD,104.0822826,30.71220749,13,True
Q082,CD_97152,cd_97152_104.011818211_30.6683844222.jpg,Q082__cd_97152_104.0118182_30.66838442.jpg,images/Q082__cd_97152_104.0118182_30.66838442.jpg,,CD,104.0118182,30.66838442,13,True
Q083,CD_415781,cd_415781_104.057118575_30.6944542386.jpg,Q083__cd_415781_104.0571186_30.69445424.jpg,images/Q083__cd_415781_104.0571186_30.69445424.jpg,,CD,104.0571186,30.69445424,13,True
Q084,CD_465038,cd_465038_104.025669671_30.6232835527.jpg,Q084__cd_465038_104.0256697_30.62328355.jpg,images/Q084__cd_465038_104.0256697_30.62328355.jpg,,CD,104.0256697,30.62328355,13,True
Q085,CD_466491,cd_466491_104.108561994_30.6013575726.jpg,Q085__cd_466491_104.108562_30.60135757.jpg,images/Q085__cd_466491_104.108562_30.60135757.jpg,,CD,104.108562,30.60135757,13,True
Q086,CD_418413,cd_418413_104.036898248_30.7136076181.jpg,Q086__cd_418413_104.0368982_30.71360762.jpg,images/Q086__cd_418413_104.0368982_30.71360762.jpg,,CD,104.0368982,30.71360762,14,True
